index,transaction_id,customer_id,transaction_date,transaction_time,amount,merchant_category,payment_method,location,device_type,is_fraud,previous_transactions,account_age_days,failed_attempts
0,TXN0001,CUST1021,2026-08-04,07:47:00,10387.51,Grocery,UPI,Jaipur,Tablet,0,36,531,1
1,TXN0002,CUST1029,2026-08-18,09:37:00,7974.6,Electronics,Card,Mumbai,Tablet,0,55,95,0
2,TXN0003,CUST1020,2026-08-01,13:45:00,10961.22,Food,Wallet,Delhi,Mobile,0,70,889,1
3,TXN0004,CUST1023,2026-08-14,17:17:00,14287.51,Electronics,UPI,Gwalior,Mobile,0,20,470,2
4,TXN0005,CUST1012,2026-08-28,18:38:00,7610.22,Food,UPI,Gwalior,Mobile,0,34,118,5
5,TXN0006,CUST1018,2026-08-10,18:36:00,7610.28,Electronics,Card,Bhopal,Mobile,0,25,1472,0
6,TXN0007,CUST1028,2026-08-08,10:24:00,14501.01,Gaming,Card,Bhopal,Desktop,0,36,958,5
7,TXN0008,CUST1007,2026-08-22,15:44:00,11416.25,Grocery,Card,Mumbai,Desktop,0,10,1277,5
8,TXN0009,CUST1013,2026-08-09,14:43:00,6716.0,Electronics,Wallet,Gwalior,Desktop,0,42,144,1
9,TXN0010,CUST1003,2026-08-07,17:13:00,10561.73,Food,Card,Bhopal,Mobile,0,64,840,5
10,TXN0011,CUST1008,2026-08-24,23:34:09,22023.87,Grocery,Net Banking,Delhi,Mobile,1,50,791,3
11,TXN0012,CUST1028,2026-08-04,11:40:00,6739.01,Travel,UPI,Gwalior,Desktop,0,21,1423,3
12,TXN0013,CUST1020,2026-08-15,15:35:00,6730.23,Electronics,Wallet,Jaipur,Desktop,0,2,1423,5
13,TXN0014,CUST1004,2026-08-10,20:10:00,9419.46,Online Shopping,Wallet,Indore,Mobile,0,59,36,5
14,TXN0015,CUST1017,2026-08-04,16:53:00,1229.54,Grocery,Wallet,Mumbai,Tablet,0,65,1277,1
15,TXN0016,CUST1025,2026-08-17,07:38:00,1945.31,Electronics,Wallet,Bhopal,Mobile,0,42,1030,0
16,TXN0017,CUST1002,2026-08-08,09:05:00,6363.31,Grocery,Card,Jaipur,Desktop,0,63,171,4
17,TXN0018,CUST1018,2026-08-06,15:33:00,4651.24,Travel,Card,Jaipur,Desktop,0,78,896,1
18,TXN0019,CUST1013,2026-08-22,18:28:00,9694.14,Grocery,Card,Delhi,Desktop,0,67,954,0
19,TXN0020,CUST1001,2026-08-19,14:37:00,5049.51,Online Shopping,UPI,Mumbai,Mobile,0,29,44,0
20,TXN0021,CUST1029,2026-08-02,17:04:00,3133.25,Online Shopping,Net Banking,Mumbai,Tablet,0,66,517,2
21,TXN0022,CUST1005,2026-08-24,22:15:00,14069.47,Electronics,UPI,Jaipur,Desktop,0,61,863,1
22,TXN0023,CUST1012,2026-08-14,20:29:00,7642.05,Online Shopping,UPI,Delhi,Desktop,0,7,1409,5
23,TXN0024,CUST1024,2026-08-11,00:15:00,17502.18,Gaming,Net Banking,Mumbai,Mobile,1,33,914,3
24,TXN0025,CUST1015,2026-08-26,10:03:00,8756.61,Grocery,Card,Gwalior,Desktop,0,70,60,0
25,TXN0026,CUST1016,2026-08-07,19:57:00,3085.96,Electronics,Net Banking,Bhopal,Desktop,0,8,367,3
26,TXN0027,CUST1010,2026-08-14,22:09:00,6431.35,Electronics,UPI,Jaipur,Desktop,0,25,637,1
27,TXN0028,CUST1002,2026-08-02,22:32:00,8921.51,Travel,UPI,Mumbai,Mobile,0,68,352,0
28,TXN0029,CUST1020,2026-08-03,14:25:00,4126.22,Travel,UPI,Indore,Mobile,0,16,1196,1
29,TXN0030,CUST1014,2026-08-22,17:59:00,9927.65,Online Shopping,Wallet,Mumbai,Desktop,0,34,448,5
30,TXN0031,CUST1013,2026-08-05,16:29:00,6217.57,Food,UPI,Delhi,Tablet,0,41,178,0
31,TXN0032,CUST1007,2026-08-17,15:08:00,7391.56,Gaming,Wallet,Mumbai,Desktop,0,45,170,1
32,TXN0033,CUST1027,2026-08-18,16:39:00,6213.51,Travel,Wallet,Jaipur,Mobile,0,68,46,5
33,TXN0034,CUST1029,2026-08-05,15:07:00,14900.0,Gaming,Wallet,Indore,Mobile,0,14,1163,1
34,TXN0035,CUST1023,2026-08-11,13:43:00,8448.71,Gaming,UPI,Delhi,Tablet,0,34,1065,3
35,TXN0036,CUST1014,2026-08-27,15:02:00,4480.7,Online Shopping,Wallet,Mumbai,Tablet,0,1,713,1
36,TXN0037,CUST1015,2026-08-18,20:35:00,11625.67,Online Shopping,Card,Indore,Mobile,0,2,259,0
37,TXN0038,CUST1027,2026-08-12,23:35:00,21977.65,Electronics,Wallet,Mumbai,Tablet,1,44,796,8
38,TXN0039,CUST1008,2026-08-22,10:22:00,3860.79,Online Shopping,Card,Mumbai,Mobile,0,72,862,4
39,TXN0040,CUST1026,2026-08-26,12:56:00,9293.68,Online Shopping,Wallet,Gwalior,Tablet,0,53,80,1
40,TXN0041,CUST1028,2026-08-24,14:17:00,1053.25,Food,UPI,Gwalior,Mobile,0,21,1466,0
41,TXN0042,CUST1007,2026-08-27,21:22:00,3452.89,Electronics,Card,Gwalior,Desktop,0,40,496,1
42,TXN0043,CUST1009,2026-08-28,09:49:00,9248.07,Travel,Net Banking,Jaipur,Tablet,0,36,749,5
43,TXN0044,CUST1011,2026-08-01,10:56:00,11306.17,Gaming,UPI,Delhi,Tablet,0,34,395,4
44,TXN0045,CUST1014,2026-08-12,17:27:00,9151.2,Food,Card,Bhopal,Mobile,0,78,1077,0
45,TXN0046,CUST1023,2026-08-14,07:33:00,8060.54,Online Shopping,Card,Bhopal,Desktop,0,69,1436,5
46,TXN0047,CUST1003,2026-08-22,17:39:00,7355.81,Online Shopping,Wallet,Indore,Desktop,0,41,1388,0
47,TXN0048,CUST1022,2026-08-14,17:25:00,2881.62,Grocery,Net Banking,Jaipur,Desktop,0,38,1165,1
48,TXN0049,CUST1022,2026-08-24,12:39:00,5764.59,Travel,UPI,Bhopal,Desktop,0,73,646,3
49,TXN0050,CUST1007,2026-08-14,17:29:00,6749.57,Grocery,Net Banking,Jaipur,Mobile,0,57,935,5
50,TXN0051,CUST1022,2026-08-03,16:32:00,12517.06,Grocery,Wallet,Mumbai,Mobile,0,80,716,0
51,TXN0052,CUST1005,2026-08-01,08:15:00,9805.75,Food,Net Banking,Jaipur,Tablet,0,61,1281,0
52,TXN0053,CUST1007,2026-08-23,03:31:09,17478.85,Electronics,Net Banking,Mumbai,Mobile,1,69,61,8
53,TXN0054,CUST1026,2026-08-23,21:03:00,1800.45,Food,Card,Gwalior,Tablet,0,72,540,0
54,TXN0055,CUST1017,2026-08-18,17:48:00,9731.52,Travel,Net Banking,Indore,Desktop,0,57,1284,5
55,TXN0056,CUST1029,2026-08-06,22:28:00,7036.69,Gaming,Net Banking,Jaipur,Mobile,0,34,536,5
