order,seasonal_order,AIC,RMSE,MAPE (%)
"(1, 1, 2)","(1, 0, 1, 7)",62.95992152805043,0.49309850628040125,0.2436014454068857
"(0, 1, 0)","(1, 0, 0, 7)",72.39009650972238,0.5194943455901826,0.22757227098930177
"(0, 1, 0)","(1, 0, 1, 7)",70.79592620945135,0.5265168623613229,0.23316449729372069
"(1, 1, 0)","(1, 1, 1, 7)",30.51787921779426,0.5274945695875009,0.20990870269430917
"(1, 1, 0)","(1, 0, 1, 7)",72.35050365489109,0.5281977572746372,0.256895681510661
"(2, 1, 0)","(0, 1, 0, 7)",66.51573293004876,0.5345224838245906,0.18793749384092132
"(0, 1, 0)","(0, 1, 0, 7)",66.81491149908294,0.5345224838248488,0.18793749383812572
"(1, 1, 0)","(0, 1, 0, 7)",68.42051922142183,0.5345224838250311,0.18793749384013628
"(1, 1, 0)","(1, 1, 0, 7)",28.520835311810732,0.5355389352268657,0.19066903554939896
"(1, 1, 0)","(0, 1, 1, 7)",28.520835314123676,0.5355528567141506,0.19068024401418973
"(0, 1, 0)","(1, 1, 0, 7)",30.578406969774985,0.5387471887731485,0.1983787906340349
"(0, 1, 0)","(0, 1, 1, 7)",28.190825820886204,0.5389591822191997,0.19856326194093854
"(1, 1, 0)","(1, 0, 0, 7)",70.35228191236696,0.5395408527586195,0.2642535753257278
"(2, 1, 0)","(1, 0, 1, 7)",70.43298870056867,0.5408602689778799,0.26783157940746166
"(0, 1, 1)","(1, 1, 0, 7)",30.642016350764806,0.5469043996073871,0.2689231151123063
"(2, 1, 0)","(1, 0, 0, 7)",68.42259753925191,0.5502990420613134,0.27424007515562965
"(0, 1, 1)","(0, 1, 0, 7)",64.31518663237193,0.5547846074965687,0.2589401786089673
"(2, 1, 0)","(0, 1, 1, 7)",30.384267449837434,0.5589748200176702,0.23156597217680744
"(1, 1, 1)","(1, 1, 0, 7)",29.225879628869894,0.5734330315377848,0.2723604828119494
"(1, 1, 2)","(1, 0, 0, 7)",72.51465462417366,0.5800623333059126,0.3080661177422625
"(0, 1, 1)","(1, 0, 0, 7)",73.64499665242953,0.5886921600268491,0.305866161457747
"(0, 1, 1)","(0, 1, 1, 7)",21.035050252572006,0.6202356022374317,0.33015267887460187
"(2, 1, 2)","(1, 0, 1, 7)",61.88694724390015,0.6211747136781924,0.3580349211443225
"(0, 1, 1)","(1, 0, 1, 7)",68.17994632311202,0.6247625618801755,0.3287253693433605
"(0, 1, 2)","(0, 1, 0, 7)",56.951836899382286,0.626604997575127,0.36558696293596965
"(2, 1, 0)","(1, 1, 0, 7)",20.82312770785564,0.6350931870433157,0.3050514062226186
"(2, 1, 1)","(1, 1, 0, 7)",22.845086911656434,0.6378157969177597,0.3071607006148044
"(2, 1, 0)","(1, 1, 1, 7)",22.78431248837378,0.6421480208378663,0.30237956580953046
"(1, 1, 1)","(0, 1, 1, 7)",22.332441722277657,0.6460582170643304,0.3402380395593296
"(0, 1, 2)","(1, 0, 0, 7)",74.18753214668345,0.6487633971070647,0.38120886686548877
"(2, 1, 1)","(0, 1, 1, 7)",22.83459550582227,0.6494249056262619,0.31728216349870697
"(2, 1, 1)","(1, 1, 1, 7)",24.944104615470316,0.6769808949952135,0.3460030790451204
"(2, 1, 1)","(1, 0, 0, 7)",69.10341304008915,0.6936653949447764,0.4026420497612651
"(2, 1, 2)","(1, 1, 1, 7)",23.138285539550647,0.6948742095364556,0.3114529027770231
"(0, 1, 2)","(1, 0, 1, 7)",61.072944940703735,0.717335376701508,0.4107413688842993
"(2, 1, 2)","(1, 1, 0, 7)",23.599346255892797,0.7418287561646686,0.364531782165824
"(1, 1, 2)","(0, 1, 0, 7)",58.2764179661081,0.78806218353363,0.48339463832265256
"(1, 1, 1)","(0, 1, 0, 7)",64.47250851339447,0.8395261238074749,0.5130042682149725
"(0, 1, 2)","(1, 1, 0, 7)",31.27375377242422,0.8692912535835787,0.5058406857395572
"(2, 1, 1)","(1, 0, 1, 7)",70.90825180688935,0.8697668397849916,0.4753087212755631
"(1, 1, 1)","(1, 0, 1, 7)",68.73233051235367,0.8977183989333121,0.5460140261697428
"(1, 1, 2)","(0, 1, 1, 7)",10.043969895284667,0.8986516783260581,0.5225174963135201
"(1, 1, 1)","(1, 0, 0, 7)",70.98158285524283,0.9246518131447441,0.5635333088387604
"(2, 1, 2)","(0, 1, 0, 7)",60.00737433674502,0.9514945538120063,0.5798044216407531
"(0, 1, 2)","(0, 1, 1, 7)",9.286714976017883,0.9552822496536226,0.5510784221441855
"(2, 1, 1)","(0, 1, 0, 7)",66.09777909980161,0.9558925271025296,0.5788406015174244
"(1, 1, 2)","(1, 1, 0, 7)",30.534825994690795,0.9602659173423514,0.5808705300373687
"(2, 1, 2)","(0, 1, 1, 7)",-34.196880010776646,1.0083669874682473,0.586421591399323
"(0, 1, 0)","(1, 1, 1, 7)",29.911383998883196,1.0716110983338911,0.5836998423687708
"(0, 1, 1)","(1, 1, 1, 7)",23.02558789592004,1.1475805654208846,0.6473200417272333
"(1, 1, 1)","(1, 1, 1, 7)",24.849003036884074,1.1825986568490687,0.6663131322155852
"(0, 1, 2)","(1, 1, 1, 7)",21.912484245635852,1.4304105098989321,0.7423722706338536
"(1, 1, 2)","(1, 1, 1, 7)",23.643176780640864,1.4454124525177372,0.7596358707144366
"(2, 1, 2)","(1, 0, 0, 7)",68.72435039530453,1.4950934427980298,0.8991818572141486
"(2, 1, 2)","(0, 0, 0, 7)",140.61241228972392,13.487183599062107,5.368131117163643
"(2, 1, 2)","(0, 0, 1, 7)",568.0894706398224,13.964790304892505,7.090588160852071
"(0, 1, 2)","(0, 0, 0, 7)",139.83500065590133,14.16283615468324,5.880139125138734
"(2, 1, 0)","(0, 0, 1, 7)",730.369156390492,14.231988303430489,6.985005307260696
"(2, 1, 0)","(0, 0, 0, 7)",148.41294507046683,14.23260972358289,6.985567460889351
"(2, 1, 1)","(0, 0, 1, 7)",607.6513414686339,14.597319387560244,6.3225750710422215
"(0, 1, 1)","(0, 0, 1, 7)",570.0907032295905,14.992644381406597,6.448399403510958
"(0, 1, 1)","(0, 0, 0, 7)",149.34774068624472,15.234813561661891,6.672301401700478
"(2, 1, 1)","(0, 0, 0, 7)",147.93600075509266,15.524742902794868,6.552786812306177
"(1, 1, 1)","(0, 0, 1, 7)",466.10110160466877,15.690547606065685,7.063143619639985
"(1, 1, 1)","(0, 0, 0, 7)",151.01958106382375,15.754925752755945,7.122367888406468
"(1, 1, 2)","(0, 0, 0, 7)",140.06385935876318,16.07126952061502,7.328306529243182
"(1, 1, 0)","(0, 0, 1, 7)",726.5752713988715,16.351291564898613,7.681898300511443
"(1, 1, 0)","(0, 0, 0, 7)",162.12126605856903,16.351291797504114,7.68189849073722
"(0, 1, 0)","(0, 0, 1, 7)",643.4842929696059,17.03358027963754,8.246183841128389
"(0, 1, 0)","(0, 0, 0, 7)",161.27374696506425,17.033580279637548,8.246183841128385
"(0, 1, 2)","(0, 0, 1, 7)",504.51646291231896,40.607494516720806,24.696225758893352
"(1, 1, 2)","(0, 0, 1, 7)",606.9238690342165,40433.6902246293,25363.178424680762
